link,title,description
https://de.linkedin.com/jobs/view/working-student-m-f-d-technical-customer-support-lumeus-ortsunabh%C3%A4ngig-m%C3%BCchen-at-lumeus-employee-mental-health-3322963678?refId=drzbieWXjZaR4XhLS3%2BbJw%3D%3D&trackingId=9MKDmIM8U8r8%2BYqAoIzGxA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,Working Student (m/f/d) Technical & Customer Support - LUMEUS Ortsunabhängig/Müchen,"
        LUMEUS hilft Menschen, ihre Ängste, Stress, Depressionen und Schlafstörungen sowie ihr Suchtverhalten durch ein emotionales Trainingsprogramm zu bewältigen.Mit unserer wissenschaftlich erprobten Methode können die Nutzer ihre bisherigen Denkmuster ändern und eine langfristige Verhaltensänderung herbeiführen. Wir sind ein Start-up im Bereich psychische Gesundheit, haben unsere App erfolgreich auf den Markt gebracht und bereiten uns nun auf die Internationalisierung vor.Wir suchen einen hoch motivierten, qualifizierten und zielstrebigen Praktikanten/Working Student, der eng mit den Gründern zusammenarbeitet, um das Unternehmen auf dem Weg zum internationalen Erfolg zu unterstützen.AufgabenDirekter Kontakt zu unseren Kunden und Unterstützung unseres Customer-Supports sowie rasche Beantwortung von Kundenanfragen Du die Möglichkeit, neue Ideen einzubringen und eigene Konzepte für innovative Wege für unseren Customer-Support selbst zu entwickelnUnterstützung im Produkt Management durch Durchführung von Umfragen & Q&As, um die App durch dein gewonnenes Wissen und Einbeziehung von Nutzerfeedback noch besser zu machen Hilfe bei administrativen Aufgaben und BüromanagementQualifikationDu bist Student/in der Wirtschaftswissenschaften, (Wirtschafts-Informatik, Kommunikationswissenschaften, Marketing, Medienwissenschaften o.ä. Du denkst mit und fühlst dich in einem schnellen und dynamischen Start-up- und Teamumfeld wohlAnalytische Fähigkeiten und eine strategische DenkweiseErste Erfahrung im Customer Service ist ein Plus Ausgezeichnete kommunikative und zwischenmenschliche FähigkeitenErfahrung mit MS Office Stets eine positive, einfühlsame und professionelle Einstellung gegenüber dem KundenAusgezeichnete schriftliche und mündliche Kommunikationsfähigkeiten in Deutsch und Englisch Kreativität und Interesse an digitalen Technologien und sozialen Medien Erfahrung in der App Entwicklung ist ein PlusBenefitseine unbefristete Festanstellung in einem schnell wachsenden Digital Health UnternehmenEine positive und professionelle Arbeitsatmosphäre mit offener Feedback- und FehlerkulturVolles Vertrauen und eine hohe professionelle und persönliche WertschätzungFlache Hierarchien, viel Verantwortung und Fokus auf individuelles OwnershipPositive, respektvolle und ungezwungene Unternehmenskultur. Gepaart mit hervorragendem Zusammenhalt in einem diversen und internationalen Team. Du erfüllst nicht alle Kriterien zu 100%, aber der Job klingt toll und Du findest Dich in der beschriebenen Firmenkultur wieder? Dann lass Dich bitte nicht von einer Bewerbung abhalten!Es warten, nach einer gut organisierten Einarbeitungsphase, abwechslungsreiche und vielfältige Aufgaben bei einem aufstrebenden Mental Health StartUp auf Dich. Die Rolle bietet Dir einen einzigartigen Team-Spirit, ein remote Arbeitsplatz oder ein moderner Arbeitsplatz mit zentraler Lage (München Sendling), Weiterbildungsmöglichkeiten sowie eine äußerst kollegiale und sehr sympathische Arbeitsatmosphäre.Wir freuen uns auf Deine Online-Bewerbung!
      "
https://de.linkedin.com/jobs/view/working-student-data-scientist-in-healthcare-f-m-d-at-staburo-gmbh-3322693518?refId=drzbieWXjZaR4XhLS3%2BbJw%3D%3D&trackingId=Wfuq4HfO7D5cKmUU2POf6A%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,Working Student Data Scientist in Healthcare (f/m/d),"
Your Responsibilities Will IncludeDevelopment of R Shiny Apps for various data science applications in healthcare Hands-on data processing and analysis of high-dimensional clinical data (e.g., biomarkers, gene expression)Support in Data Science projects as well as (non-)clinical development in all study phasesIdentification of subgroups, e.g., by using cluster analysis or principal component analysis Statistical programming and development of reusable programsDevelopment of R packages, e.g., subgroup analysis or cut-point detectionYour profileStudies in statistics, mathematics, data science, or a similar direction Knowledge on basic and advanced statistical methods, e.g., hypothesis testing, multivariate analysisAdvanced programming skills in R, experience with development of R packages, would be an advantage Strong analytical and quick-learning skills Precise and accurate way of working Team player and a high degree of initiativeGood English skills, German is an advantageAs a working student (f/m/d), you are available for up to 20 hours per week, whereby you can flexibly adjust your working hours to your schedule – starting immediately!What we offer youWe value communication, flat hierarchies, open corporate culture, and a harmonious work environment. We offer comprehensive individual development opportunities, even after your studies, continuous trainings, and flexible working hours. A modern and bright office with a delicious, subsidised canteen is part of our everyday working life. You will join an interdisciplinary team allowing you to discuss with and learn from peers with many different backgrounds.Staburo GmbH is a data science company, specialized in statistical consulting, programming and bioinformatics for healthcare projects. Our core competencies include Clinical Statistics, Translational Medicine & Biomarkers, Phase I & Pharmacokinetics/-Dynamics, Data Transparency & Disclosure Services, Health Technology Assessment and Bioinformatics. Our customers are international pharmaceutical companies, CROs, biotech companies and medical device manufacturers. Our steadily growing team supports our clients efficiently from study design to data analysis and finally the disclosing and posting of trial results.
      "
https://de.linkedin.com/jobs/view/working-student-human-resources-f-m-d-at-staburo-gmbh-3322693481?refId=drzbieWXjZaR4XhLS3%2BbJw%3D%3D&trackingId=VYBkDPmUNh35MUhY1xfNHg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,Working Student Human Resources (f/m/d),"
Your Responsibilities Will IncludeYou support HR related topics and manage subprojects on your own responsibility.You coordinate recruiting processes.You assist the onboarding and training of new employees.You take over administrative tasks in Human Resources (e.g., time recording, holidays, sick days, virtual personnel files).Your profileUniversity degree in Business administration or social sciences, ideally with a focus on human resources.Experience in the field of human resources is an advantage.Confident handling of MS Office and OutlookPrecise and accurate way of workingAbility to work in a team and a high degree of initiativeAs a working student (f/m/d), you are available for up to 20 hours per week, whereby you can flexibly adjust your working hours to your schedule – starting immediately!What we offer youWe value communication, flat hierarchies, open corporate culture, and a harmonious work environment. We offer comprehensive individual development opportunities, continuous trainings, and flexible working hours. A modern and bright office with a delicious, subsidised canteen, as well as the opportunity to work 2 days per week from home are part of our everyday working life.Staburo GmbH is a data science company, specialized in statistical consulting, programming and bioinformatics for healthcare projects. Our core competencies include Clinical Statistics, Translational Medicine & Biomarkers, Phase I & Pharmacokinetics/-Dynamics, Data Transparency & Disclosure Services, Health Technology Assessment and Bioinformatics. Our customers are international pharmaceutical companies, CROs, biotech companies and medical device manufacturers. Our steadily growing team supports our clients efficiently from study design to data analysis and finally the disclosing and posting of trial results.
      "
https://de.linkedin.com/jobs/view/start-up-%C4%B1nternship-company-building-future-entrepreneur-at-friency-3321828643?refId=drzbieWXjZaR4XhLS3%2BbJw%3D%3D&trackingId=9jNtwH4hjY8Gp9iL5TbfXQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,Fail,Fail
https://de.linkedin.com/jobs/view/working-student-f-m-d-business-excellence-at-siemens-3324772077?refId=drzbieWXjZaR4XhLS3%2BbJw%3D%3D&trackingId=oIajbAA6m%2FyO9EemGGB1pQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,Working Student (f/m/d) Business Excellence,"
Mode of Employment: Limited; Part time only, 15-20 hoursYour Extra Treasure Of Experience.How will we travel, communicate, and use energy in the world of tomorrow? Work on the right answers with us. We are looking for bright minds – thinkers with a passion for practical matters. In short, people who can turn their questions and ours into exciting new discoveries. When you join our team as one of our working students, you will find many opportunities to get involved. Seize the chance to be part of our global network, make key contacts, and get your career as well as your personal life on the best track. Our teams are curious to meet you.As a working student with the Business Excellence team you will support us in achieving our goals as an organization especially around digitalization and process optimization. We act as Product Owners for ongoing agile IT developments, drive process optimization and implementation projects, and foster collaborative exchange and knowledge sharing.What part will you play?You bring a structured, user-centered approach to problem solving and new process implementationYou support data analysis and visualizationYou support the team in maintaining global standards and instructions and administering the knowledge sharing platformYou support lessons learned activities and document management processes, especially after successful investmentWe don’t need superheroes, just super minds.You are an excellent student in Business Administration, Business Informatics or Law or similarYou have a growth mindset and are curious to learn, understand user needs and connect them to technology solutionsYou are comfortable with a fast-paced environment, are willing to think critically about existing processes and put forth new insights before implementing solutionsYou are a digital native and can easily work with Excel and PowerPointWe’ve got quite a lot to offer. How about you?www.siemens.deif you wish to find out more about Siemens before applying.Do you have questions about the application? Here you will find answers to frequently asked questions.If you have more questions please contact: www.siemens.de/fragenzurbewerbungwww.siemens.com/careersif you would like to find out more about jobs & careers at Siemens.As an equal-opportunity employer we are happy to consider applications from individuals with disabilities.Organization: Siemens Financial ServicesCompany: Siemens AGExperience Level: Student (Not Yet Graduated)Full / Part time: Part-time
"
https://de.linkedin.com/jobs/view/working-student-human-resources-m-f-d-at-picus-capital-3322956947?refId=drzbieWXjZaR4XhLS3%2BbJw%3D%3D&trackingId=6MHMLn83ecKHRMvOapzl4g%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,Working Student Human Resources (m/f/d),"
        Picus Capital ist eine führende internationale Investmentfirma im Technologiebereich. Wir arbeiten mit ambitionierten Gründerteams zusammen, um richtungsweisende Technologieunternehmen aufzubauen. Unser Ziel ist es, ein unternehmerischer Sparringspartner für visionäre Gründer zu sein - von der Idee bis zum Börsengang und darüber hinaus. Eine privat finanzierte Struktur ermöglicht es uns, permanentes, flexibles und langfristiges Kapital in einer Vielzahl von Bereichen zu investieren.Unser dynamisches und engagiertes Team hat große Ambitionen. Für den Ausbau unseres HR Teams suchen wir eine/n Human Resources Werkstudenten (m/w/d). In dieser Position bist Du wichtiger Bestandteil von Picus, sowie unserer weltweit tätigen Portfoliounternehmen. Dabei arbeitest Du eng mit unserem Investment Team und den Gründern unserer Portfoliounternehmen zusammen.AufgabenRecruiting:Du bringst neue, kreative Recruiting-Ideen zur Steigerung der Candidate Experience und Stärkung unserer Arbeitgebermarke einDu übernimmst eigenständig Teile des Bewerbermanagements – vom Screening der Bewerbungen bis hin zum Onboarding unserer neuen MitarbeiterDu suchst und sprichst aktiv und eigenständig geeignete Kandidaten für offenen Vakanzen von Picus und unserer Portfoliounternehmen anStrategie:Du entwickelst und verbesserst bestehende Prozesse im Rahmen von HR-ProjektenDu unterstützt das HR-Team bei der Erstellung von Reports und der Analyse von Recruiting-KPIsQualifikationBackground:Du studierst aktuell im Bachelor- oder Masterstudium vorzugsweise im Bereich BWL, Psychologie, Human Resources Management oder vergleichbare StudiengängeDu hast Interesse an HR-Themen und StartupsDu besitzt gute MS Office Kenntnisse (Excel, Word, PowerPoint) und sprichst fließend Deutsch und EnglischPersönlichkeit:Du besitzt eine ausgeprägte Kommunikationsfähigkeit und Offenheit sowie eine proaktive und eigenständige ArbeitsweiseDu hast Spaß an der Zusammenarbeit im TeamMindset & Passion**:**Wir glauben an leidenschaftliche Eigenverantwortung und suchen Menschen, die sich in einem dynamischen Umfeld wohlfühlen. Jedes Teammitglied ist von unserer Mission begeistert und hat eine Affinität für Technologie-Investitionen und echtem Unternehmertum. Wir suchen neue Teammitglieder, die gemeinsam mit uns unsere Mission erfüllen wollen. BenefitsGlobales Netzwerk: Wir bieten Dir ein breites Aufgabengebiet in einem starken HR Team in dem du vielfältige Tätigkeiten übernehmen kannst. Im Rahmen dessen kannst Du dir ein wertvolles globales Netzwerk aufbauen.Kultur: Wir haben eine ehrgeizige, unternehmerische und fürsorgliche Unternehmenskultur mit sehr hohen Standards, die es Dir ermöglicht, schon früh volle Verantwortung zu übernehmen. Du wirst kontinuierlich mit einem globalen Team interagieren, mit Kollegen in 7 Niederlassungen zusammenarbeiten und das Ökosystem jeder Region kennenlernen.Persönlicher Buddy: Während des Onboarding-Prozesses erhältst Du einen persönlichen Buddy bei Picus, der Dich im Rahmen regelmäßiger Meetings begleitet und unterstützt.Perks: Unsere Praktikanten und Werkstudenten treffen sich einmal im Monat zu einem Praktikantenstammtisch. Außerdem gibt es regelmäßige monatliche und saisonale Team-Events.
      "
https://de.linkedin.com/jobs/view/working-student-f-m-d-in-%C4%B1t-for-digital-workplace-at-siemens-3325287266?refId=drzbieWXjZaR4XhLS3%2BbJw%3D%3D&trackingId=yqDmO9DyzNVa2ZY8di2hSA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,Working Student (f/m/d) in IT for Digital Workplace,"
Mode of Employment: Limited, Part time, 20 hours/weekYour Extra Treasure Of Experience.How will we travel, communicate, and use energy in the world of tomorrow? Work on the right answers with us. We are looking for bright minds – thinkers with a passion for practical matters. In short, people who can turn their questions and ours into exciting new discoveries. When you join our team as one of our working students, you will find many opportunities to get involved. Seize the chance to be part of our global network, make key contacts, and get your career as well as your personal life on the best track. Our teams are curious to meet you.What part will you play?You will assist in creating the Hardware Ordering Catalog for internal Siemens users.You will help designing a new process to be established for our agile catalog development and coordinate the implementation with the provider of our IT Service Management Platform Service-Now.You will help to get the new process well documented.You support us in Incident Process Management and Commercial workflows in different projects.We don’t need superheroes, just super minds.You are a Bachelor or Master student in e.g. Information Technology or Industrial Engineering and interested in IT and can quickly familiarize yourself with new topics.You work independently, conscientiously, flexible and like to take on responsibility.You are an entrepreneur, and you like to try out new ways of doing things.You have an eye on the detail and ideally good understanding in PC Hardware Standards.You have excellent communication skills and can easily communicate complex topics in a simple and target-group oriented way.You have an excellent command of English (written and spoken), English native speakers are also highly welcomeMake your mark in our exciting world at Siemens.www.siemens.deif you wish to find out more about Siemens before applying.Do you have questions about the application? Here you will find answers to frequently asked questions.If you have more questions please contact: www.siemens.de/fragenzurbewerbungwww.siemens.com/careersif you would like to find out more about jobs & careers at Siemens.As an equal-opportunity employer we are happy to consider applications from individuals with disabilities.Organization: Information TechnologyCompany: Siemens AGExperience Level: Student (Not Yet Graduated)Full / Part time: Part-time
"
https://de.linkedin.com/jobs/view/working-student-m-f-d-supporting-python-tests-for-5g-nr-l1-software-development-at-rohde-schwarz-3322015682?refId=drzbieWXjZaR4XhLS3%2BbJw%3D%3D&trackingId=G7sVma4VWANWyj2jJV7m7g%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,Working student (m/f/d) supporting Python tests for 5G NR L1 software development,"
Your tasks You will create, write and adapt Python test scripts used in our regression test environmentIn case of failures you will analyse them and interact with our developers to fix the testsYou will work hands-on with the latest R&S measurement instrumentsYour QualificationsAcademic studies in electrical engineering, computer science or a comparable field of studiesProfound knowledge in PythonBasic know-how in communications engineering system theory and digital signal processingKnow-how in wireless communications systems like 3GPP New Radio is a plusOpen to work in an international teamExperience with version control system Git and a Git hosting tool like GitLab/GitHub is a plusExperience with a bug tracking tool is a plus Interested?  We are looking forward to receiving your application! If you have any questions, please feel free to contact your recruiting contact at any time.We place great importance on equal opportunities. We look forward to receiving your application regardless of gender, nationality, ethnic and social origin, religion, ideology, disability, age as well as sexual orientation and identity.Reference number 2943Recruiting- Contact Tanja FeßmannWith its leading solutions in the areas of Test & Measurement, Technology Systems and Networks & Cybersecurity, the Rohde & Schwarz technology group is one of the pioneers of a secure and connected world. Founded more than 85 years ago, the Group is a reliable partner for its customers from the private and public sectors around the globe. Headquartered in Munich, Germany, the company has strong regional hubs in Singapore and Columbia, Maryland to coordinate business activities in Asia and the USA.
"
https://de.linkedin.com/jobs/view/working-student-controlling-f-m-d-at-essity-3322661101?refId=drzbieWXjZaR4XhLS3%2BbJw%3D%3D&trackingId=WIhoIEIZGAXgcjtaEx7k5Q%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,Working student - Controlling (f/m/d),"
        Around 350 Essity employees from numerous nations work in Ismaning near Munich. The site is the headquarters of the Consumer Goods Business Unit and is home to a whole range of central functions, both at global level and for various business units. About The RoleYou are responsible for following up and supporting controlling activities in a proactive way for the GSC Logistics controlling department. The role will be a working student contract. Located in Ismaning. We're looking for people who embody our values, aren't afraid to challenge, innovate, experiment, and move at a fast pace. We're always looking for ways to improve our products and ourselves. If this is you, we'd love to talk.Main TasksSupport closing, forecast, budget and AP processConsolidate the bottom-up data of IDC controllers and provide outlook to stakeholdersSupport through contribution to the development of financial systems and establish efficient Controlling procedures and working routinesCoordinate logistic reporting activities in alignment with manufacturing, setting of timetables and guidelines, ensuring consistency of data received from the site and respect of deadlinesSupport with analyzing financial and non-financial KPI's within Global Logistics for Essity Business Units (Consumer Goods, Professional Hygiene & Personal Care)Be part of project work, e.g. Benchmarking between sites, reports’ automationWho you areBachelor or Master student in economics with focus on controlling, finance or similarVery confident in using Excel and MS Office applicationsBasic SAP knowledge (preferably in S/4 HANA and SAP R3) and Power BI would be a plusAnalytical skills, enjoys working with figuresFluent in English (written and verbal)Fast learner, has a logical understanding, and motivation to work in a challenging, international surroundingAdditional InformationThis is a unique opportunity to work in an international environment and in a dynamic team setting with varied challenges.Interested?We are looking forward to your application. Please apply online via our job portal.Our diversity makes us strong and creates an inclusive, inviting and harmonious workplace where individuality is appreciated by everyone. For this reason, incoming applications are selected based on professional qualifications and working values regardless of ethnicity, religion, gender, sexual identity, nationality, disability or age.Together, we are improving lives, every day.Working at Essity is not just a career; it is a chance to directly make the world a healthier, more hygienic and safer place. With impactful innovations coupled with sustainable solutions, we strive to reach more people every year with the necessary and essential solutions for well-being.Application End Date:
      "
https://de.linkedin.com/jobs/view/working-student-customer-services-m-f-d-process-optimization-and-digitalization-at-giesecke%2Bdevrient-3322092609?refId=drzbieWXjZaR4XhLS3%2BbJw%3D%3D&trackingId=8rF0F5LDaQhXhtyv0rc0Mg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,Working Student Customer Services (m/f/d) Process Optimization and Digitalization,"
        For our department Customer Services, we are now looking for a working student who will actively support us in process optimization and digitalization.Your Tasks:Collaboration in the optimization of current processesSupport in the digitalization of processes in offer managementContribution in strategic projects in spare parts management for Service & MaintenanceDevelopment of a database to support the offer managementSetup of Power BI reports from Sales Force / SAP etc.Your Profile:Active matriculation in the course of studies in business informatics, business administration, as an industrial engineer or similar First semesters successfully completedPrevious work experience in process consulting or in the digitalization field would be an advantageConfident handling of common MS Office applications, good SAP knowledge is an advantageVery good spoken and written English language skillsTeam orientation and a high level of commitmentA high degree of independence as well as a target-oriented and self-reliant way of working complete your profileWhat we offer:A great team with a positive working atmosphere in an exciting business High motivation to move things forward together and optimize processes A job in a company with a great purpose in an international environmentThe opportunity to actively help shape the future of the company Flexible working hours and the possibility of home office or remote workAttractive remuneration
"
